MatchDate,Opposition,Ground,Runs,Mins,Balls Faced,4s,6s,Strike Rate,Batting Position,Dismissal,Inns,Match,Year
19-Mar-04,Pakistan,Peshawar,0,7,5,0,0,0,2,caught,1,331,2004
16-Mar-04,Pakistan,Rawalpindi,141,173,135,17,1,104.44,2,caught,2,330,2004
13-Mar-04,Pakistan,Karachi,28,49,35,4,1,80,2,caught,1,329,2004
08-Feb-04,Australia,Sydney,27,38,40,4,0,67.5,2,caught,2,328,2004
06-Feb-04,Australia,Melbourne,8,28,22,1,0,36.36,2,bowled,1,327,2004
03-Feb-04,Zimbabwe,Perth,3,16,8,0,0,37.5,2,caught,2,326,2004
01-Feb-04,Australia,Perth,5,17,6,1,0,83.33,2,caught,1,325,2004
18-Jan-04,Australia,Brisbane,86,129,95,8,0,90.52,2,caught,1,324,2004
14-Jan-04,Zimbabwe,Hobart,44,107,59,6,0,74.57,2,bowled,2,323,2004
09-Jan-04,Australia,Melbourne,63,117,69,8,1,91.3,2,caught,2,322,2004
18-Nov-03,Australia,Kolkata,45,104,66,5,0,68.18,1,bowled,2,321,2003
15-Nov-03,New Zealand,Hyderabad (Deccan),102,124,91,12,1,112.08,2,caught,1,320,2003
12-Nov-03,Australia,Bangalore,89,133,91,12,1,97.8,2,bowled,2,319,2003
06-Nov-03,New Zealand,Cuttack,14,29,14,3,0,100,2,lbw,1,318,2003
01-Nov-03,Australia,Mumbai,68,113,76,10,0,89.47,2,bowled,2,317,2003
26-Oct-03,Australia,Gwalior,100,158,119,9,1,84.03,2,caught,1,316,2003
23-Oct-03,New Zealand,Chennai,48,119,66,5,0,72.72,2,not out,1,315,2003
23-Mar-03,Australia,Johannesburg,4,2,5,1,0,80,1,caught,2,314,2003
20-Mar-03,Kenya,Durban,83,166,101,5,1,82.17,2,caught,1,313,2003
14-Mar-03,New Zealand,Centurion,15,25,16,3,0,93.75,2,caught,2,312,2003
10-Mar-03,Sri Lanka,Johannesburg,97,160,120,7,1,80.83,1,caught,1,311,2003
07-Mar-03,Kenya,Cape Town,5,21,12,1,0,41.66,2,caught,2,310,2003
01-Mar-03,Pakistan,Centurion,98,145,75,12,1,130.66,1,caught,2,309,2003
26-Feb-03,England,Durban,50,78,52,8,1,96.15,2,caught,1,308,2003
23-Feb-03,Namibia,Pietermaritzburg,152,193,151,18,0,100.66,2,bowled,1,307,2003
19-Feb-03,Zimbabwe,Harare,81,122,91,10,0,89.01,2,bowled,1,306,2003
15-Feb-03,Australia,Centurion,36,127,59,3,0,61.01,2,lbw,1,305,2003
12-Feb-03,Netherlands,Paarl,52,91,72,7,0,72.22,2,caught,1,304,2003
14-Jan-03,New Zealand,Hamilton,1,7,6,0,0,16.66,3,caught,1,303,2003
11-Jan-03,New Zealand,Auckland,1,21,13,0,0,7.69,4,caught,2,302,2003
08-Jan-03,New Zealand,Wellington,0,9,10,0,0,0,4,lbw,2,301,2003
30-Sep-02,Sri Lanka,Colombo (RPS),7,33,22,1,0,31.81,3,not out,2,300,2002
29-Sep-02,Sri Lanka,Colombo (RPS),-1,-1,-1,-1,-1,-1,-1,-1,2,299,2002
25-Sep-02,South Africa,Colombo (RPS),16,39,29,1,0,55.17,4,run out,1,298,2002
22-Sep-02,England,Colombo (RPS),9,34,20,0,0,45,4,not out,2,297,2002
